LOAN_ID,PD_RISK_RATING,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
ZZZ0001,2,C&I,0.113703411,0.795355137,1156188.606,0.090962729,0.963878986,120.6061366,0.966453536,-6.884990101,0.195104773,1.09385532,0.890361113,C,T982,Yes
ZZZ0002,4,CRE Permanent,0.622299405,0.364232479,,0.497839524,0.606212073,109.6217187,0.440732599,-10.01021379,1.600637393,1.146796726,0.857631793,B,X456,Yes
ZZZ0003,2,CRE Construction,0.609274733,0.821237902,1046682.63,0.487419786,0.29674584,94.52030569,0.00749147,10.72638433,0.434791618,1.050519909,0.150827646,B,T982,Yes
ZZZ0004,1,CRE Construction,0.623379442,0.613072648,1085325.47,0.498703553,0.641079381,94.93387132,0.910975962,0.47612742,0.341299495,1.011260847,0.120292972,B,T982,No
ZZZ0005,2,CRE Construction,0.860915384,0.70922782,1051378.694,0.688732307,0.339429712,106.3318484,0.939268997,0.251195205,0.967833758,1.002241406,0.329663426,B,R567,Yes
ZZZ0006,8,C&I,0.640310605,0.198039254,796542.0643,0.512248484,0.046808413,110.1086788,0.582227573,3.157415411,3.464109304,1.051273595,0.5863148,C,T982,Yes
ZZZ0007,1,CRE Construction,0.009495756,0.09619984,1019758.277,0.007596605,0.460585694,98.80674747,0.671563481,2.677735345,1.869670296,1.422596684,0.905735811,C,X456,Yes
ZZZ0008,1,CRE Construction,0.232550506,0.701470079,1048400.188,0.186040405,0.96207225,99.42403278,0.083938227,3.070730478,0.362517913,1.283273332,0.360689947,B,R567,No
ZZZ0009,6,CRE Construction,0.666083758,0.222746412,,0.532867007,0.394401405,103.8773654,0.766480933,-3.775395806,0.550536006,1.08831255,0.785280689,B,Y237,Yes
ZZZ00010,2,CRE Construction,0.514251141,9.987,,0.411400913,0.026673329,107.0369672,0.236809775,2.312885982,0.827734085,1.089720327,0.431875249,A,Z009,No
ZZZ00011,2,CRE Permanent,0.693591292,0.30304824,1125999.206,0.554873033,0.188173324,101.2177504,0.030814022,-1.95277189,0.165570707,1.006587468,0.323316615,C,T982,No
ZZZ00012,2,CRE Permanent,0.544974836,0.305041028,1083436.929,0.435979868,0.161557767,124.5620639,0.788772717,1.62973237,1.276646826,1.013220575,0.369056974,C,R567,Yes
